,Season_End_Year,Wk,Date,Team,HomeGoals,AwayGoals,Away,FTR,FDCOUK,City,Stadium,Capacity,Latitude,Longitude,Country,stadium,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1993,1,1992-08-15,Coventry City,2,1,Middlesbrough,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1992-08-15,16.1,11.3,20.9,,,212.0,15.9,,1014.6,
1,1993,4,1992-08-26,Coventry City,0,1,QPR,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1992-08-26,14.2,11.7,17.5,,,219.0,16.2,,,
2,1993,5,1992-08-29,Coventry City,0,2,Blackburn,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1992-08-29,12.5,6.2,16.3,,,234.0,11.6,,1004.0,
3,1993,8,1992-09-14,Coventry City,1,0,Tottenham,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1992-09-14,11.3,5.1,17.7,,,230.0,12.8,,1013.2,
4,1993,11,1992-10-03,Coventry City,2,2,Crystal Palace,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1992-10-03,11.1,10.1,12.6,,,,12.2,,1007.0,
5,1993,13,1992-10-24,Coventry City,1,2,Chelsea,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1992-10-24,6.0,2.6,10.2,,,253.0,13.9,,1003.9,
6,1993,16,1992-11-21,Coventry City,2,3,Manchester City,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1992-11-21,6.4,1.7,13.1,,,,10.9,,1010.5,
7,1993,18,1992-12-05,Coventry City,2,2,Ipswich Town,D,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1992-12-05,3.5,1.0,6.4,,,231.0,13.8,,995.4,
8,1993,20,1992-12-19,Coventry City,5,1,Liverpool,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1992-12-19,1.5,-0.9,3.3,,,,5.8,,1019.6,
9,1993,21,1992-12-26,Coventry City,3,0,Aston Villa,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1992-12-26,-0.2,-2.3,1.6,,,,5.5,,1039.9,
10,1993,23,1993-01-09,Coventry City,0,1,Nott'ham Forest,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1993-01-09,8.7,5.0,12.0,,,221.0,21.7,,1010.4,
11,1993,28,1993-01-23,Coventry City,3,0,Oldham Athletic,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1993-01-23,7.7,3.9,12.6,,,224.0,21.9,,1014.8,
12,1993,26,1993-01-30,Coventry City,0,2,Wimbledon,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1993-01-30,5.6,3.7,7.4,,,165.0,8.2,,,
13,1993,29,1993-03-03,Coventry City,1,0,Sheffield Weds,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1993-03-03,2.6,1.6,3.1,,,49.0,19.5,,1024.0,
14,1993,32,1993-03-07,Coventry City,0,1,Everton,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1993-03-07,6.3,4.8,7.7,,,,6.2,,1023.0,
15,1993,34,1993-03-13,Coventry City,0,2,Arsenal,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1993-03-13,10.4,4.2,16.7,,,166.0,12.5,,,
16,1993,36,1993-03-24,Coventry City,1,3,Sheffield Utd,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1993-03-24,5.7,1.2,10.4,,,294.0,15.7,,1030.1,
17,1993,37,1993-04-03,Coventry City,2,0,Southampton,H,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1993-04-03,4.6,-0.3,9.0,,,157.0,16.2,,1008.3,
18,1993,39,1993-04-12,Coventry City,0,1,Manchester Utd,A,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England,Ricoh Arena,1993-04-12,8.3,4.0,13.8,,,,,,1001.4,
