stadium,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
Ricoh Arena,1992-08-15,16.1,11.3,20.9,nan,nan,212.0,15.9,nan,1014.6,nan
Ricoh Arena,1992-08-26,14.2,11.7,17.5,nan,nan,219.0,16.2,nan,nan,nan
Ricoh Arena,1992-08-29,12.5,6.2,16.3,nan,nan,234.0,11.6,nan,1004.0,nan
Ricoh Arena,1992-09-14,11.3,5.1,17.7,nan,nan,230.0,12.8,nan,1013.2,nan
Ricoh Arena,1992-10-03,11.1,10.1,12.6,nan,nan,nan,12.2,nan,1007.0,nan
Ricoh Arena,1992-10-24,6.0,2.6,10.2,nan,nan,253.0,13.9,nan,1003.9,nan
Ricoh Arena,1992-11-21,6.4,1.7,13.1,nan,nan,nan,10.9,nan,1010.5,nan
Ricoh Arena,1992-12-05,3.5,1.0,6.4,nan,nan,231.0,13.8,nan,995.4,nan
Ricoh Arena,1992-12-19,1.5,-0.9,3.3,nan,nan,nan,5.8,nan,1019.6,nan
Ricoh Arena,1992-12-26,-0.2,-2.3,1.6,nan,nan,nan,5.5,nan,1039.9,nan
Ricoh Arena,1993-01-09,8.7,5.0,12.0,nan,nan,221.0,21.7,nan,1010.4,nan
Ricoh Arena,1993-01-23,7.7,3.9,12.6,nan,nan,224.0,21.9,nan,1014.8,nan
Ricoh Arena,1993-01-30,5.6,3.7,7.4,nan,nan,165.0,8.2,nan,nan,nan
Ricoh Arena,1993-03-03,2.6,1.6,3.1,nan,nan,49.0,19.5,nan,1024.0,nan
Ricoh Arena,1993-03-07,6.3,4.8,7.7,nan,nan,nan,6.2,nan,1023.0,nan
Ricoh Arena,1993-03-13,10.4,4.2,16.7,nan,nan,166.0,12.5,nan,nan,nan
Ricoh Arena,1993-03-24,5.7,1.2,10.4,nan,nan,294.0,15.7,nan,1030.1,nan
Ricoh Arena,1993-04-03,4.6,-0.3,9.0,nan,nan,157.0,16.2,nan,1008.3,nan
Ricoh Arena,1993-04-12,8.3,4.0,13.8,nan,nan,nan,nan,nan,1001.4,nan
Ricoh Arena,1993-05-08,9.3,4.2,14.2,nan,nan,37.0,22.3,nan,1028.8,nan
Ricoh Arena,1993-08-21,16.4,10.8,19.4,nan,nan,308.0,7.8,nan,1019.4,nan
Ricoh Arena,1993-09-01,16.7,9.1,23.8,nan,nan,nan,7.0,nan,nan,nan
Ricoh Arena,1993-09-18,10.3,3.1,16.6,nan,nan,nan,9.4,nan,1020.6,nan
Ricoh Arena,1993-10-16,1.6,-4.3,7.3,nan,nan,nan,5.9,nan,1022.7,nan
Ricoh Arena,1993-10-31,8.1,7.5,9.1,nan,nan,68.0,15.2,nan,1024.7,nan
Ricoh Arena,1993-11-06,8.7,8.1,9.1,nan,nan,38.0,13.0,nan,1012.6,nan
Ricoh Arena,1993-11-27,2.9,0.4,4.6,nan,nan,89.0,8.8,nan,1031.1,nan
Ricoh Arena,1993-12-04,8.4,3.8,11.5,nan,nan,253.0,22.0,nan,1009.4,nan
Ricoh Arena,1993-12-18,10.9,8.3,12.3,nan,nan,211.0,26.4,nan,1006.1,nan
Ricoh Arena,1994-01-03,4.3,1.7,6.6,nan,nan,181.0,15.3,nan,nan,nan
Ricoh Arena,1994-01-22,8.1,6.6,9.6,nan,nan,242.0,12.2,nan,1024.9,nan
Ricoh Arena,1994-02-02,2.1,-0.6,6.4,nan,nan,196.0,10.3,nan,nan,nan
Ricoh Arena,1994-02-19,2.4,-0.1,5.9,nan,nan,124.0,15.1,nan,1019.6,nan
Ricoh Arena,1994-03-06,7.5,4.5,9.9,nan,nan,245.0,22.0,nan,nan,nan
Ricoh Arena,1994-03-26,5.9,2.3,10.1,nan,nan,325.0,10.4,nan,1020.7,nan
Ricoh Arena,1994-04-02,4.3,2.4,8.6,nan,nan,266.0,20.7,nan,1004.1,nan
Ricoh Arena,1994-04-09,3.8,1.1,7.2,nan,nan,270.0,15.6,nan,991.0,nan
Ricoh Arena,1994-05-02,11.6,7.4,16.6,nan,nan,136.0,15.5,nan,1024.4,nan
Ricoh Arena,1994-08-20,15.4,12.4,19.6,nan,nan,255.0,9.5,nan,nan,nan
Ricoh Arena,1994-08-29,14.4,10.6,18.6,nan,nan,273.0,12.8,nan,1015.3,nan
Ricoh Arena,1994-09-17,10.5,7.8,14.6,nan,nan,310.0,15.1,nan,1021.4,nan
Ricoh Arena,1994-09-24,13.5,12.0,16.3,nan,nan,40.0,22.5,nan,1017.2,nan
Ricoh Arena,1994-10-10,8.6,0.7,17.8,nan,nan,nan,4.4,nan,1022.1,nan
Ricoh Arena,1994-10-29,8.8,6.2,12.1,nan,nan,167.0,9.2,nan,nan,nan
Ricoh Arena,1994-11-02,6.6,1.3,11.9,nan,nan,nan,11.3,nan,1014.5,nan
Ricoh Arena,1994-11-19,14.4,13.1,15.8,nan,nan,220.0,20.8,nan,1011.3,nan
Ricoh Arena,1994-12-03,10.0,7.1,12.4,nan,nan,190.0,21.7,nan,1010.4,nan
Ricoh Arena,1994-12-17,9.2,4.3,11.6,nan,nan,192.0,24.9,nan,1017.6,nan
Ricoh Arena,1994-12-26,6.1,2.4,10.5,nan,nan,216.0,21.5,nan,1003.3,nan
Ricoh Arena,1994-12-31,2.9,0.3,5.6,nan,nan,277.0,17.2,nan,994.4,nan
Ricoh Arena,1995-01-21,5.1,2.8,9.0,nan,nan,203.0,26.2,nan,nan,nan
Ricoh Arena,1995-02-04,6.9,2.8,11.3,nan,nan,nan,11.2,nan,1024.8,nan
Ricoh Arena,1995-02-18,6.0,2.7,9.1,nan,nan,232.0,21.5,nan,1009.3,nan
Ricoh Arena,1995-02-25,4.4,1.8,7.2,nan,nan,308.0,12.6,nan,995.3,nan
Ricoh Arena,1995-03-11,7.6,5.2,10.4,nan,nan,202.0,11.1,nan,1012.6,nan
Ricoh Arena,1995-04-01,14.8,11.7,19.4,nan,nan,259.0,16.4,nan,1030.1,nan
Ricoh Arena,1995-04-15,10.0,7.3,12.4,nan,nan,325.0,20.4,nan,1026.4,nan
Ricoh Arena,1995-05-14,7.8,2.0,12.6,nan,nan,259.0,10.1,nan,1020.5,nan
Ricoh Arena,1995-08-23,18.2,15.2,22.1,nan,nan,323.0,9.1,nan,1014.1,nan
Ricoh Arena,1995-08-26,18.2,15.1,21.6,nan,nan,284.0,15.6,nan,1016.9,nan
Ricoh Arena,1995-09-09,15.8,11.6,19.8,nan,nan,248.0,13.4,nan,1006.9,nan
Ricoh Arena,1995-09-30,9.9,2.5,15.5,nan,nan,nan,7.7,nan,1014.6,nan
Ricoh Arena,1995-10-21,6.9,1.0,13.5,nan,nan,nan,6.0,nan,1029.3,nan
Ricoh Arena,1995-11-04,3.0,-1.6,9.9,nan,nan,nan,4.5,nan,nan,nan
Ricoh Arena,1995-11-22,8.7,5.8,11.1,nan,nan,241.0,10.1,nan,nan,nan
Ricoh Arena,1995-11-25,9.5,8.0,11.0,nan,nan,168.0,13.5,nan,999.1,nan
Ricoh Arena,1995-12-09,-1.8,-6.5,5.3,nan,nan,nan,2.3,nan,1035.0,nan
Ricoh Arena,1995-12-23,3.0,1.3,4.8,nan,nan,30.0,14.1,nan,990.4,nan
Ricoh Arena,1996-01-01,2.0,1.1,2.9,nan,nan,nan,4.0,nan,nan,nan
Ricoh Arena,1996-01-14,8.4,6.4,9.9,nan,nan,137.0,18.4,nan,nan,nan
Ricoh Arena,1996-02-10,6.1,3.6,8.2,nan,nan,199.0,22.4,nan,996.9,nan
Ricoh Arena,1996-02-24,6.5,5.3,7.8,nan,nan,214.0,18.5,nan,nan,nan
Ricoh Arena,1996-03-02,6.5,5.3,8.1,nan,nan,330.0,12.4,nan,1029.8,nan
Ricoh Arena,1996-03-16,2.9,1.0,4.3,nan,nan,62.0,9.5,nan,1010.9,nan
